ID_Original,Categoria_Original,Texto_Manifestacao,Rotulo Correto (Sim/Não),"Realismo 1 a 5 
(1-Muito Artificial 2- Artificial 3- Regular 4- Natural 5- Muito Natural)","Tem Vazamento (Sim/Não)
 Ex. Elogio, Denúncia ",Complexidade (Sim/Não),Obs
200,Elogio,Parabenizo a reforma na escola do meu filho em Petrolina. A modernização das salas de aula e a renovação da quadra esportiva criaram um ambiente muito melhor para o aprendizado,Sim,5,Não,Não,
592,Crítica,"Gostaria de registrar uma reclamação sobre a merenda nas escolas de Garanhuns. A alimentação está repetitiva e com qualidade inferior, o que não atende às necessidades nutricionais dos alunos",Sim,5,Não,Não,
47,Elogio,"Elogio o serviço ágil e de alta qualidade da equipe de iluminação pública de Olinda. O conserto das luzes da minha rua foi feito com rapidez, o que demonstrou a eficiência do trabalho",Sim,5,Sim,Não,
603,Crítica,"Não concordo com a condição das ciclovias em Recife. Elas estão malcuidadas, com asfalto irregular, e não formam uma rede coesa. A interrupção abrupta das rotas força os ciclistas a se arriscarem nas ruas com carros",Sim,5,Não,Sim,
165,Elogio,"O projeto de cursos profissionalizantes gratuitos em Jaboatão dos Guararapes é excelente. Graças a ele, pude me capacitar e me sentir mais preparado para conseguir um emprego",Sim,5,Não,Não,
564,Denúncia,Estou alertando sobre um desmatamento clandestino em Igarassu. Estão acabando com um pedaço da mata atlântica na zona rural para construir casas. As máquinas estão trabalhando no local sem nenhuma autorização visível do órgão ambiental.,Sim,5,Não,Não,
171,Pedido de Acesso à Informação (LAI),"Com base na Lei de Acesso à Informação, solicito o EIA/RIMA completo do novo condomínio que está em obras no Janga, município de Paulista.",Sim,4,Não,Não,
362,Solicitação,"Solicito a remoção dos carros abandonados na Rua Epitácio Pessoa, no centro. Eles estão juntando água da chuva, o que pode causar dengue, e virando esconderijo para bandidos.",Sim,5,Sim,Não,
39,Sugestão,"Proponho que Garanhuns invista na instalação de iluminação de LED em suas principais vias. Além de ser mais econômica, a tecnologia LED proporciona maior segurança para quem transita à noite",Sim,5,Não,Sim,
168,Elogio,Fico muito feliz com a iniciativa de cursos profissionalizantes gratuitos em Jaboatão dos Guararapes. Isso oferece à população a oportunidade de se capacitar e melhorar de vida. Um excelente trabalho,Sim,5,Não,Sim,
303,Pedido de Acesso à Informação (LAI),"Nos termos da Lei de Acesso à Informação, requeiro o demonstrativo completo de despesas do evento ""Verão 2025"" em Porto de Galinhas, discriminando os valores pagos a título de cachê artístico e os custos com a infraestrutura.",Sim,4,Não,Não,
122,Sugestão,O número de animais abandonados em Caruaru está crescendo. Sugiro que a prefeitura crie mais abrigos para animais de rua e amplie o programa de castração gratuita para controlar a população,Sim,5,Não,Não,
176,Sugestão,Acredito que Garanhuns deveria ter mais áreas de lazer com brinquedos adaptados para crianças com deficiência. A inclusão social é fundamental e todos os espaços públicos devem ser acessíveis,Sim,5,Não,Sim,
371,Denúncia,"Na Avenida Agamenon Magalhães, esquina com a Rua do Paissandu, um grande buraco na pista tem causado acidentes. Apesar dos repetidos contatos e solicitações, o problema continua sem solução por parte dos responsáveis.",Sim,5,Não,Sim,
504,Denúncia,"A comunidade do Bode está sofrendo com esgoto a céu aberto, o que está causando muitas doenças. A prefeitura prometeu uma obra de saneamento no ano passado, mas o projeto nunca saiu do papel.",Sim,5,Não,Sim,
377,Pedido de Acesso à Informação (LAI),"Para fins de controle social, peço a listagem com os nomes de todos que recebem o ""Aluguel Social"" em Arcoverde e os respectivos valores mensais do benefício.",Sim,5,Não,Sim,
324,Solicitação,Gostaria de solicitar o conserto do balanço e do escorregador do parquinho do Alto da Sé. Ambos estão danificados e representam um perigo para as crianças que brincam no local.,Sim,4,Sim,Não,
618,Crítica,"Gostaria de reclamar do transporte público para a zona rural de Igarassu. Os ônibus são antigos, os horários não são cumpridos e a espera nas paradas é excessiva. Isso afeta o acesso de estudantes e trabalhadores",Sim,4,Não,Sim,
53,Pedido de Acesso à Informação (LAI),"Amparado pela Lei de Acesso à Informação, solicito o inteiro teor do procedimento licitatório, bem como do contrato resultante, referente à pavimentação da Avenida da Integração em Petrolina.",Sim,4,Sim,Sim,
306,Pedido de Acesso à Informação (LAI),"Com base na LAI, solicito o detalhamento dos cachês de todos os artistas e dos custos de estrutura do evento ""Verão 2025"" em Porto de Galinhas, como parte da prestação de contas total do evento.",Sim,4,Sim,Sim,
321,Solicitação,Venho por meio deste pedir o reparo dos equipamentos do parquinho do Alto da Sé. O balanço encontra-se quebrado e o escorregador com uma fissura que oferece risco aos usuários.,Sim,4,Não,Não,
221,Elogio,O trabalho de promoção cultural em Caruaru é exemplar. Os eventos são bem organizados e a variedade de atrações tem sido um ponto alto. É uma ótima forma de promover o lazer e valorizar a cultura da cidade,Sim,5,Não,Sim,
501,Denúncia,"A situação na comunidade do Bode é um perigo para a saúde pública. O esgoto corre livremente pelas ruas, espalhando doenças. Foi prometida uma obra de saneamento pela prefeitura, mas a promessa não foi cumprida.",Sim,5,Não,Sim,
633,Crítica,O processo para conseguir um alvará de construção em Arcoverde é excessivamente lento. A demora na análise dos projetos atrasa as obras e prejudica o desenvolvimento da cidade.,Sim,3,Não,Sim,
93,Sugestão,"Para valorizar o patrimônio histórico e cultural de Arcoverde, proponho um programa de revitalização das fachadas antigas no centro da cidade. Isso também ajudaria a atrair mais turistas e visitantes",Sim,2,Não,Sim,
65,Elogio,Fui atendido na Secretaria de Educação de Jaboatão dos Guararapes e fiquei muito impressionado. Os funcionários foram solícitos e a resolução da minha solicitação foi muito eficiente. Parabéns pelo serviço,Sim,5,Não,Sim,
242,Elogio,"O novo sistema de agendamento online de consultas em Serra Talhada é ótimo. A plataforma é fácil de usar e tornou o processo de marcar horários muito mais rápido, o que eliminou filas e esperas",Sim,5,Não,Sim,
143,Sugestão,Acredito que um programa de microcrédito para pequenos empreendedores e artesãos em Olinda seria muito benéfico. Essa medida impulsionaria a economia local e daria mais visibilidade ao artesanato da cidade,Sim,5,Não,Sim,
356,Pedido de Acesso à Informação (LAI),Gostaria de ler o relatório completo da auditoria mais recente que foi realizada na Secretaria de Saúde de Salgueiro.,Sim,3,Não,Não,
311,Denúncia,Registro aqui a falta de cardiologista no PSF do bairro da Várzea. A marcação de consultas de rotina para pacientes idosos está suspensa há meses por conta disso.,Sim,5,Não,Sim,
96,Sugestão,"Proponho que a prefeitura de Arcoverde crie um programa de revitalização das fachadas antigas do centro. A medida valorizaria a história da cidade e atrairia mais turistas, impulsionando a economia local",Sim,3,Não,Sim,
568,Crítica,"Venho registrar minha insatisfação com o serviço prestado pelo CRAS de Paulista. A desorganização é notória, a espera é excessiva, a distribuição de fichas é insuficiente e a equipe demonstra despreparo e sobrecarga.",Sim,5,Não,Sim,
383,Solicitação,A entrada do Posto de Saúde do Maurício de Nassau precisa ser acessível. Solicito a construção de uma rampa para cadeirantes.,Sim,2,Sim,Não,
5,Sugestão,Sugiro que Caruaru implemente um sistema de compostagem comunitária. A criação de pontos de coleta em feiras e mercados seria uma ótima maneira de reduzir o volume de lixo e usar o material orgânico para enriquecer o solo de hortas urbanas,Sim,5,Sim,Sim,
429,Denúncia,"É urgente o conserto da iluminação na Rua da Moeda, em Olinda. A rua está às escuras com postes queimados, o que tem facilitado a ação de assaltantes e deixado os moradores inseguros.",Sim,4,Não,Sim,
537,Denúncia,Quero registrar uma queixa sobre o péssimo atendimento no DETRAN de Garanhuns. Um funcionário sem identificação foi extremamente mal-educado e se negou a me ajudar com os documentos do meu carro.,Sim,3,Sim,Não,
71,Solicitação,Estou ligando para pedir a poda de uma árvore perigosa na Praça Souto Filho. Os galhos estão pegando na fiação e podem causar um curto-circuito.,Sim,3,Não,Não,
595,Crítica,"A qualidade da merenda nas escolas de Garanhuns diminuiu consideravelmente. As refeições não são variadas e carecem de valor nutricional, o que tem gerado preocupação entre os pais de alunos",Sim,3,Não,Sim,
23,Pedido de Acesso à Informação (LAI),"Gostaria de solicitar, via LAI, uma planilha com os dados dos servidores comissionados da Prefeitura de Caruaru. As colunas devem ser: nome completo, cargo ocupado, secretaria de lotação e o valor da remuneração bruta mensal.",Sim,4,Não,Sim,
404,Solicitação,"Gostaria de saber os horários atuais do ônibus que vai para a zona rural de Charneca, em Gravatá.",Sim,5,Não,Não,
35,Solicitação,"A situação da pavimentação na Rua Enock Ignácio de Oliveira (Serra Talhada) é crítica. A via está tomada por buracos, tornando o tráfego perigoso e danoso para os veículos. Solicito providências.",Sim,3,Sim,Não,
546,Crítica,A prefeitura de Jaboatão precisa rever o serviço de coleta seletiva. A irregularidade da passagem do caminhão e a mistura dos resíduos fazem com que a população perca o interesse em separar o lixo.,Sim,2,Não,Sim,
189,Solicitação,"Gostaria de solicitar a manutenção de um terreno de propriedade municipal na Rua das Flores, que se encontra em estado de abandono, com acúmulo de detritos e vegetação alta.",Sim,3,Sim,Não,
11,Sugestão,Acredito que um aplicativo com a localização em tempo real dos ônibus de Petrolina seria muito útil. Essa ferramenta facilitaria a vida de quem usa o transporte público e o tornaria mais confiável,Sim,4,Não,Sim,
534,Crítica,"O sistema de agendamento online de consultas da prefeitura do Recife vive caindo e é muito confuso. É uma luta para conseguir marcar qualquer coisa, principalmente para os mais velhos, como minha mãe.",Sim,4,Não,Sim,
416,Pedido de Acesso à Informação (LAI),Gostaria de ter acesso às atas das três últimas reuniões do Conselho Municipal de Desenvolvimento Urbano do Cabo de Santo Agostinho.,Sim,4,Não,Não,
117,Elogio,"Gostaria de elogiar o projeto de criação de novas áreas verdes em Garanhuns. A cidade está visivelmente mais agradável e com mais espaços para o lazer da população, o que é um avanço para o bem-estar de todos",Sim,2,Sim,Não,
609,Denúncia,"O sinal de trânsito no cruzamento da Conde da Boa Vista com a Rua da Aurora está quebrado há mais de um mês. Ele só pisca amarelo, o que está causando a maior bagunça e pode provocar um acidente a qualquer momento.",Sim,5,Não,Sim,
